,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
48,query_es3_8_4.q3.reads,query_es3_8_4,es3,q3.reads,"uar_[1,5]: uar",3,8,4,30389287.1525,30.389287152499996,366.4608,130.36280137093172,130.36280137093172,47772.856480632734,0.0,35986897.0,38135936.0,39306708.233333334,40885789.5,59856800.42666671,4,4,138803182.0,471077.0,76708999000.0,0.0,10000.0,10000.0,3664608.0,4097593697718.0
49,query_es3_8_4.q4.reads,query_es3_8_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,4,29815782.775,29.815782775,366.7863,133.52561021203869,133.52561021203869,48975.36452491588,0.0,36102974.5,38152271.8,39182965.666666664,40237535.24999999,42600312.73000001,4,4,50336998.0,473218.0,74892000000.0,0.0,10000.0,10000.0,3667863.0,4406874775162.0
50,query_es3_8_8.load.inserts,query_es3_8_8,es3,load.inserts,load,load,8,8,48464747.85679,48.46474785679,156.38311,160.12374388547266,160.12374388547266,25040.6490536537,0.0,26169242.0,47708669.599999994,68268539.69999999,95993473.64999998,255810583.17999995,8,8,10262589295.0,11920553.0,624516999000.0,0.0,100000.0,100000.0,15638311.0,43222078625.0
51,query_es3_8_8.q1.reads,query_es3_8_8,es3,q1.reads,fixed_1: fixed_hf,1,8,8,61133365.2677,61.1333652677,355.0,130.06438356069955,130.06438356069955,46172.85616404834,0.0,59548442.0,65904372.599999994,69983965.56666666,73772315.44999999,80983099.84333335,8,8,101476513.0,50496635.0,76884999000.0,0.0,10000.0,10000.0,3550000.0,5033205151169.0
52,query_es3_8_8.q2.reads,query_es3_8_8,es3,q2.reads,fixed_1: uar,2,8,8,46725684.1973,46.7256841973,365.9881,168.93604081494746,168.93604081494746,61828.58059938507,0.0,44870522.5,51714623.400000006,56106062.56666666,60187248.64999999,70712225.94000012,8,8,170326285.0,33710951.0,59194000000.0,0.0,10000.0,10000.0,3659881.0,5650140171065.0
53,query_es3_8_8.q3.reads,query_es3_8_8,es3,q3.reads,"uar_[1,5]: uar",3,8,8,37455300.5119,37.455300511900006,366.4095,210.9704641350211,210.9704641350211,77301.58227848102,0.0,42592071.0,49873827.400000006,54187119.8,58530426.94999999,71201692.03333342,8,8,182012922.0,482867.0,47400000000.0,0.0,10000.0,10000.0,3664095.0,6128583682125.0
54,query_es3_8_8.q4.reads,query_es3_8_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,8,36711989.6202,36.7119896202,366.7325,216.27700759132296,216.27700759132296,79315.80768648484,0.0,42444820.5,49411847.0,53446131.03333333,56790339.0,63730440.59666668,8,8,77966918.0,489915.0,46237000000.0,0.0,10000.0,10000.0,3667325.0,6512658951783.0
55,query_es3_8_16.load.inserts,query_es3_8_16,es3,load.inserts,load,load,8,16,87914627.38307,87.91462738307,156.38311,172.08238645932298,172.08238645932298,26910.778770730816,0.0,43792316.5,78454405.4,114687373.06666665,167678119.34999993,665562663.9966637,16,16,16413081936.0,7438992.0,581116999000.0,0.0,100000.0,100000.0,15638311.0,160236260396.0
56,query_es3_8_16.q1.reads,query_es3_8_16,es3,q1.reads,fixed_1: fixed_hf,1,8,16,125135551.4901,125.13555149009999,355.0,127.18277436504,127.18277436504,45149.884899589204,0.0,122661283.5,149228766.0,164193381.4,176341957.45,200332359.6666667,16,16,260509501.0,49627649.0,78627000000.0,0.0,10000.0,10000.0,3550000.0,9453838547575.0
57,query_es3_8_16.q2.reads,query_es3_8_16,es3,q2.reads,fixed_1: uar,2,8,16,97193023.2933,97.1930232933,366.0215,163.63130861897318,163.63130861897318,59892.577027679494,0.0,94658472.0,116228187.4,128862222.93333332,140299272.75,167336591.23000014,16,16,309357211.0,34521077.0,61112999000.0,0.0,10000.0,10000.0,3660215.0,10715213685062.0
58,query_es3_8_16.q3.reads,query_es3_8_16,es3,q3.reads,"uar_[1,5]: uar",3,8,16,77566169.8954,77.56616989540001,366.4875,204.78374836173,204.78374836173,75050.68397771953,0.0,86959016.0,111786309.0,124933165.73333332,136775659.25,162079434.84333342,16,16,282875518.0,506668.0,48832000000.0,0.0,10000.0,10000.0,3664875.0,11703321158603.0
59,query_es3_8_16.q4.reads,query_es3_8_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,8,16,76242020.1013,76.2420201013,366.7981,208.50708924103418,208.50708924103418,76480.00417014178,0.0,85986894.0,109737090.4,121728932.5,132213283.25,154833691.04666683,16,16,195055810.0,489167.0,47960000000.0,0.0,10000.0,10000.0,3667981.0,12494655002881.0
60,query_es3_16_1.load.inserts,query_es3_16_1,es3,load.inserts,load,load,16,1,17909966.57703,17.909966577029998,156.38311,55.62477750089,55.62477750089,8698.775698647205,0.0,18060077.0,18881061.8,19286109.266666666,19656030.2,20252532.07333333,1,1,69175870.0,7361070.0,1797760000000.0,0.0,100000.0,100000.0,15638311.0,6845879990.0
61,query_es3_16_1.q1.reads,query_es3_16_1,es3,q1.reads,fixed_1: fixed_hf,1,16,1,81036025.1059,81.03602510590001,355.0,12.332144118778457,12.332144118778457,4377.911162166352,0.0,81053298.5,82091522.2,83024726.6,83303509.95,83733329.74333334,1,1,87967963.0,77703625.0,810888999000.0,0.0,10000.0,10000.0,3550000.0,1798433225470.0
62,query_es3_16_1.q2.reads,query_es3_16_1,es3,q2.reads,fixed_1: uar,2,16,1,63695506.796,63.695506796000004,366.197,15.68076471953384,15.68076471953384,5742.248997999134,0.0,62373812.5,64678662.800000004,66416227.33333333,67896848.05,88251178.34666668,1,1,164605910.0,59128092.0,637724000000.0,0.0,10000.0,10000.0,3661970.0,2609767350284.0
