,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
72,query_es2_4_8.q6.reads,query_es2_4_8,es2,q6.reads,fixed_int: int_1,6,4,8,465995.55759,0.46599555759000005,0.0,14738.395687309607,0.0,0.0,0.0,454931.0,480563.6,500690.63333333336,577082.0499999999,667010.6999999997,8,8,12047639.0,392876.0,6784999000.0,0.0,100000.0,0.0,0.0,1462115909291.0
73,query_es2_4_8.q7.reads,query_es2_4_8,es2,q7.reads,fixed_int: int_10,7,4,8,590583.41979,0.59058341979,373.0,12163.971799534338,12163.971799534338,4537161.481226308,0.0,581806.0,605273.0,625002.4333333333,669198.2499999998,813785.8899999999,8,8,2326002.0,518028.0,8220999000.000001,0.0,100000.0,100000.0,37300000.0,1516677051463.0
74,query_es2_4_8.q8.reads,query_es2_4_8,es2,q8.reads,fixed_int: int_100,8,4,8,707501.58613,0.70750158613,373.0,10033.110267192764,10033.110267192764,3742350.1296629007,0.0,672480.5,711200.0,786987.4333333333,923934.8999999996,1220429.3066666666,8,8,13455394.0,591365.0,9966999000.0,0.0,100000.0,100000.0,37300000.0,1583711447767.0
75,query_es2_4_8.q9.reads,query_es2_4_8,es2,q9.reads,fixed_int: int_1000,9,4,8,1572419.71143,1.5724197114300003,382.0,4446.222933617892,4446.222933617892,1698457.1606420346,0.0,1528951.0,1652274.6,1732060.0,1790294.4,2005723.92,8,8,3962235.0,1392148.0,22491000000.0,0.0,100000.0,100000.0,38200000.0,1673698267616.0
76,query_es2_4_8.q10.reads,query_es2_4_8,es2,q10.reads,fixed_int: int_10000,10,4,8,11811855.40747,11.811855407469999,385.0,611.9089724212627,611.9089724212627,235584.95438218612,0.0,11784535.0,11997510.8,12137145.066666666,12287713.899999999,12824095.629999999,8,8,23017499.0,10844478.0,163423000000.0,0.0,100000.0,100000.0,38500000.0,1957855674664.0
77,query_es2_4_16.load.inserts,query_es2_4_16,es2,load.inserts,load,load,4,16,17228286.44578,17.22828644578,174.4612,872.9050279329608,872.9050279329608,152288.05865921787,0.0,6149087.0,15804727.600000005,24287632.766666666,35911857.099999964,155418409.9066664,16,16,9137239824.0,2681293.0,114560000000.0,0.0,100000.0,100000.0,17446120.0,37651949182.0
78,query_es2_4_16.q1.reads,query_es2_4_16,es2,q1.reads,fixed_1: v101,1,4,16,1339014.6808,1.3390146807999999,387.0,10928.96174863388,10928.96174863388,4229508.196721312,0.0,1228452.0,1452539.8,1817405.8,1909690.2,2644317.8733333414,16,16,10437593.0,904986.0,915000000.0,0.0,10000.0,10000.0,3870000.0,1872640582745.0
79,query_es2_4_16.q2.reads,query_es2_4_16,es2,q2.reads,fixed_1: v41,2,4,16,1324558.1222,1.3245581222,386.0,11185.69483858483,11185.69483858483,4317678.207693744,0.0,1243160.0,1368310.2,1771325.0333333332,1906383.6,2557464.0033333357,16,16,10921208.0,917031.0,893999000.0,0.0,10000.0,10000.0,3860000.0,1887303151152.0
80,query_es2_4_16.q3.reads,query_es2_4_16,es2,q3.reads,fixed_1: v17,3,4,16,1560635.6621,1.5606356621000002,380.0,9718.182427776897,9718.182427776897,3692909.322555221,0.0,1492172.0,1560655.0,1938264.5666666664,2267804.15,3030420.81,16,16,15928253.0,1040667.0,1028999000.0,0.0,10000.0,10000.0,3800000.0,1901614339947.0
81,query_es2_4_16.q4.reads,query_es2_4_16,es2,q4.reads,fixed_1: v10,4,4,16,4090019.464,4.090019464,383.0,3760.8123354644604,3760.8123354644604,1440391.1244828885,0.0,4078665.0,4148551.8,4228712.833333333,5840664.8,6603291.513333338,16,16,16281175.0,2278113.0,2659000000.0,0.0,10000.0,10000.0,3830000.0,1918079629903.0
