,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
68,query_es3_16_4.q3.reads,query_es3_16_4,es3,q3.reads,"uar_[1,5]: uar",3,16,4,56268994.1146,56.268994114600005,366.4815,69.80364235405804,69.80364235405804,25581.74355537872,0.0,67908836.5,70334595.0,72885008.66666667,74820938.25,97696811.45666677,4,4,184689160.0,591868.0,143259000000.0,0.0,10000.0,10000.0,3664815.0,4182178479233.0
69,query_es3_16_4.q4.reads,query_es3_16_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,4,55459842.6991,55.459842699099994,366.7496,70.8360787331398,70.8360787331398,25979.10354094753,0.0,67701565.0,70121578.8,72313956.63333333,73743738.15,75813828.34,4,4,83829228.0,584590.0,141170999000.0,0.0,10000.0,10000.0,3667496.0,4756913956631.0
70,query_es3_16_8.load.inserts,query_es3_16_8,es3,load.inserts,load,load,16,8,37834729.63568,37.83472963568,156.38311,205.59929109364433,205.59929109364433,32152.2565550194,0.0,23855126.0,41660691.6,57808486.36666666,79198187.74999994,184069238.2133303,8,8,8274325001.0,10800595.0,486383000000.0,0.0,100000.0,100000.0,15638311.0,30223491563.0
71,query_es3_16_8.q1.reads,query_es3_16_8,es3,q1.reads,fixed_1: fixed_hf,1,16,8,97786935.8379,97.78693583789999,361.0,81.58869573608256,81.58869573608256,29453.519160725806,0.0,97411600.5,98549730.6,99743033.46666667,101485236.3,105357873.37666668,8,8,197381626.0,93683362.0,122565999000.0,0.0,10000.0,10000.0,3610000.0,3916279694537.0
72,query_es3_16_8.q2.reads,query_es3_16_8,es3,q2.reads,fixed_1: uar,2,16,8,76911388.4372,76.91138843720002,366.2637,103.22687308490279,103.22687308490279,37808.25647550691,0.0,75023775.0,78737216.8,80795368.6,82501381.8,106126478.54000002,8,8,206653877.0,67182055.0,96873999000.0,0.0,10000.0,10000.0,3662637.0,4898683389547.0
73,query_es3_16_8.q3.reads,query_es3_16_8,es3,q3.reads,"uar_[1,5]: uar",3,16,8,61896795.7908,61.8967957908,366.5278,128.46865364850976,128.46865364850976,47087.332990750256,0.0,74546872.0,77747527.0,80392783.7,82015923.55,107123580.63333336,8,8,211090335.0,601156.0,77840000000.0,0.0,10000.0,10000.0,3665278.0,5676959250844.0
74,query_es3_16_8.q4.reads,query_es3_16_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,8,61009221.9306,61.009221930600006,366.8757,130.67624959163672,130.67624959163672,47941.94054230643,0.0,74560213.5,77390769.60000001,79955375.2,81306765.1,84381081.13333336,8,8,96286561.0,601632.0,76525000000.0,0.0,10000.0,10000.0,3668757.0,6303123932203.0
75,query_es3_16_16.load.inserts,query_es3_16_16,es3,load.inserts,load,load,16,16,66805071.57483,66.80507157483001,156.38311,230.82374068337677,230.82374068337677,36096.934429899986,0.0,38372440.0,69248235.0,98823486.43333334,140090328.64999992,390736677.7399998,16,16,12326411078.0,6918764.0,433231000000.0,0.0,100000.0,100000.0,15638311.0,103286870094.0
76,query_es3_16_16.q1.reads,query_es3_16_16,es3,q1.reads,fixed_1: fixed_hf,1,16,16,188655721.9921,188.65572199209998,355.0,84.40100677234523,84.40100677234523,29962.357404182552,0.0,191131448.5,216823199.8,230432742.36666667,242945640.04999998,267246098.63000005,16,16,309541123.0,90346803.0,118481999000.0,0.0,10000.0,10000.0,3550000.0,7035277969629.0
77,query_es3_16_16.q2.reads,query_es3_16_16,es3,q2.reads,fixed_1: uar,2,16,16,147938802.3878,147.9388023878,366.3373,107.69131361864352,107.69131361864352,39451.34506450709,0.0,147935241.5,171016988.8,184215341.06666666,195810842.7,223181339.03000003,16,16,465852709.0,68808946.0,92858000000.0,0.0,10000.0,10000.0,3663373.0,8935349874276.0
78,query_es3_16_16.q3.reads,query_es3_16_16,es3,q3.reads,"uar_[1,5]: uar",3,16,16,118427463.505,118.42746350500002,366.5531,134.10758110155967,134.10758110155967,49157.54958627812,0.0,139948354.0,164282524.20000002,178302753.76666665,190474294.65,217248374.35333335,16,16,451664216.0,615320.0,74567000000.0,0.0,10000.0,10000.0,3665531.0,10428445306243.0
79,query_es3_16_16.q4.reads,query_es3_16_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,16,116405415.006,116.40541500599998,366.8137,136.63628786533127,136.63628786533127,50120.062306147265,0.0,138744793.5,162461172.4,175462222.96666667,185908981.09999996,206531942.4566667,16,16,239418250.0,599894.0,73187000000.0,0.0,10000.0,10000.0,3668137.0,11628896284293.0
